Order_ID,Order_Date,Customer_ID,Customer_Name,Region,Segment,Category,Sub_Category,Sales,Quantity,Profit
ORD00001,2022-04-29,CUST0204,Customer_204,Central,Consumer,Technology,Phones,1321.45,9,164.57
ORD00002,2022-03-05,CUST0249,Customer_249,East,Consumer,Furniture,Chairs,672.62,5,3.46
ORD00003,2022-02-03,CUST0244,Customer_244,West,Home Office,Technology,Phones,1258.69,1,-60.32
ORD00004,2022-01-18,CUST0280,Customer_280,East,Corporate,Office Supplies,Paper,575.09,7,118.12
ORD00005,2023-12-12,CUST0125,Customer_125,South,Consumer,Furniture,Bookcases,1829.49,9,-108.16
ORD00006,2023-04-19,CUST0036,Customer_36,East,Consumer,Furniture,Bookcases,374.7,6,105.37
ORD00007,2022-02-10,CUST0156,Customer_156,East,Corporate,Technology,Accessories,353.03,10,85.95
ORD00008,2023-04-18,CUST0268,Customer_268,West,Consumer,Furniture,Furnishings,470.11,2,34.84
ORD00009,2022-03-06,CUST0090,Customer_90,West,Corporate,Office Supplies,Paper,1486.6,6,36.34
ORD00010,2022-01-17,CUST0242,Customer_242,Central,Home Office,Furniture,Furnishings,197.14,2,37.58
ORD00011,2023-11-04,CUST0058,Customer_58,East,Consumer,Furniture,Bookcases,591.79,10,129.91
ORD00012,2023-07-30,CUST0254,Customer_254,Central,Consumer,Furniture,Furnishings,204.96,8,29.34
ORD00013,2022-08-13,CUST0068,Customer_68,Central,Consumer,Technology,Machines,1477.95,3,233.31
ORD00014,2022-07-25,CUST0298,Customer_298,South,Home Office,Furniture,Furnishings,808.59,9,179.39
ORD00015,2023-05-19,CUST0078,Customer_78,South,Consumer,Furniture,Chairs,297.49,2,17.76
ORD00016,2022-05-20,CUST0273,Customer_273,Central,Corporate,Furniture,Furnishings,1951.17,7,366.04
ORD00017,2023-12-06,CUST0035,Customer_35,East,Corporate,Office Supplies,Storage,1524.68,4,76.82
ORD00018,2022-06-30,CUST0167,Customer_167,East,Home Office,Technology,Phones,664.41,1,98.32
ORD00019,2022-03-23,CUST0245,Customer_245,Central,Consumer,Technology,Copiers,1679.73,5,-70.42
ORD00020,2023-07-24,CUST0202,Customer_202,East,Consumer,Furniture,Chairs,712.0,3,24.14
ORD00021,2023-10-29,CUST0141,Customer_141,West,Home Office,Technology,Accessories,88.95,7,3.12
ORD00022,2022-02-02,CUST0181,Customer_181,West,Consumer,Office Supplies,Paper,1316.52,3,355.33
ORD00023,2023-04-15,CUST0104,Customer_104,Central,Consumer,Office Supplies,Art,441.27,7,107.92
ORD00024,2022-04-16,CUST0259,Customer_259,South,Consumer,Furniture,Tables,1451.04,9,26.52
ORD00025,2022-08-29,CUST0260,Customer_260,East,Consumer,Office Supplies,Paper,1924.37,3,264.16
ORD00026,2023-10-23,CUST0189,Customer_189,Central,Home Office,Technology,Phones,865.68,10,110.49
ORD00027,2022-09-30,CUST0038,Customer_38,West,Corporate,Furniture,Chairs,772.48,5,151.67
ORD00028,2022-09-04,CUST0087,Customer_87,West,Corporate,Technology,Copiers,1271.14,2,32.14
ORD00029,2022-01-19,CUST0143,Customer_143,Central,Corporate,Office Supplies,Art,590.99,1,138.42
ORD00030,2023-07-30,CUST0094,Customer_94,South,Corporate,Office Supplies,Binders,57.34,5,15.01
ORD00031,2022-01-11,CUST0196,Customer_196,East,Corporate,Technology,Machines,1527.9,8,302.0
ORD00032,2023-01-10,CUST0038,Customer_38,West,Corporate,Technology,Accessories,1427.48,8,223.14
ORD00033,2023-09-27,CUST0265,Customer_265,Central,Consumer,Office Supplies,Storage,1144.83,5,6.54
ORD00034,2022-02-13,CUST0189,Customer_189,Central,Home Office,Office Supplies,Paper,746.42,6,25.01
ORD00035,2023-09-07,CUST0042,Customer_42,Central,Consumer,Office Supplies,Paper,1713.33,10,-131.59
ORD00036,2023-03-26,CUST0028,Customer_28,East,Corporate,Technology,Phones,659.36,5,31.21
ORD00037,2022-08-28,CUST0081,Customer_81,East,Consumer,Technology,Accessories,1849.87,7,351.51
ORD00038,2022-12-17,CUST0162,Customer_162,South,Consumer,Furniture,Furnishings,1397.76,3,224.25
